"Statistic","Nace.Rev.2.Activity","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Construction Enterprises","Development of building projects (411)",2416,3749,3222,3042,2850,2741,2482,2733,2887,3477,3827,3846
"Construction Enterprises","Construction of residential and non-residential buildings (412)",13876,13269,12143,11515,11221,10996,10633,11089,11193,12096,12082,12227
"Construction Enterprises","Construction of roads and railways (421)",1027,884,802,739,719,689,670,680,697,773,783,777
"Construction Enterprises","Construction of utility projects (422)",322,316,283,270,257,268,266,276,275,308,296,304
"Construction Enterprises","Construction of other civil engineering projects (429)",381,376,310,299,316,335,358,405,432,479,498,540
"Construction Enterprises","Demolition and site preparation (431)",766,719,649,607,594,561,547,593,595,696,695,737
"Construction Enterprises","Electrical, plumbing and other construction installation activities (432)",11337,11111,11046,11141,11139,10930,10495,10861,10845,11526,11492,11513
"Construction Enterprises","Building completion and finishing (433)",22163,18973,17112,16157,16063,15737,15683,17051,17337,19478,19346,20096
"Construction Enterprises","Other specialised construction activities (439)",9617,8075,7040,6486,6371,6245,6215,6858,7307,8422,8607,9135
"Construction Enterprises","Construction (41 to 43)",61905,57472,52607,50256,49530,48502,47349,50546,51568,57255,57626,59175
"Employees - Manual","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employees - Manual","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employees - Manual","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employees - Manual","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employees - Manual","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employees - Manual","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employees - Manual","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employees - Manual","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employees - Manual","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employees - Manual","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employees - Other","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
