"Statistic","NACE.Rev.2.Sector","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Gross Operating Surplus","Development of building projects (411)",417.6897,360.7994,904.4474,714.6223,903.2628,804.5849,1033.5862,1124.8036,952.915,949.2324
"Gross Operating Surplus","Construction of residential and non-residential buildings (412)",337.0486,623.5339,861.5086,1016.683,924.0068,829.0218,1144.0297,1324.4372,1487.0472,1481.3004
"Gross Operating Surplus","Construction of roads and railways (421)",71.4197,62.1853,90.9944,105.4297,118.8651,82.8449,83.2944,100.5923,119.5987,119.1365
"Gross Operating Surplus","Construction of utility projects (422)",37.9833,32.2199,85.2522,90.8727,101.5915,85.0672,42.0837,150.6353,241.5924,240.6587
"Gross Operating Surplus","Construction of other civil engineering projects (429)",37.2691,32.197,47.2581,48.2359,56.4474,54.9999,68.8884,100.7158,150.6813,150.099
"Gross Operating Surplus","Demolition and site preparation (431)",59.9965,55.7006,67.5522,96.4389,115.5509,197.5716,90.702,74.4501,130.4002,129.8963
"Gross Operating Surplus","Electrical, plumbing and other construction installation activities (432)",217.0329,218.758,312.9149,375.8065,472.4971,523.3421,613.8224,705.4555,891.5222,888.0768
"Gross Operating Surplus","Building completion and finishing (433)",76.802,79.1902,125.0541,143.2878,173.6783,197.174,236.2985,284.755,316.3457,315.1231
"Gross Operating Surplus","Other specialised construction activities (439)",101.2095,110.5293,179.2239,211.0658,242.654,287.2779,337.15,407.0113,425.7847,424.1392
"Gross Mixed Income","Development of building projects (411)",32.147,39.7745,26.1687,23.3813,27.632,22.4592,22.5202,24.1022,22.6435,22.0099
"Gross Mixed Income","Construction of residential and non-residential buildings (412)",172.1939,192.6233,215.2731,228.0477,246.8435,209.5581,232.692,310.2883,350.2895,340.488
"Gross Mixed Income","Construction of roads and railways (421)",13.4612,14.8881,15.8673,15.4825,18.1021,15.2784,16.5082,18.0731,19.5902,19.042
"Gross Mixed Income","Construction of utility projects (422)",4.7878,5.0579,4.3504,4.9492,5.5763,5.9045,5.4381,6.6964,7.4575,7.2489
