"Statistic","County","NACE.Rev.2.Economic.Sector","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Mean Annual Earnings","Co. Clare","All NACE economic sectors",38592,38539,38573,38966,39632,39716,40688,41870,43054,46904,47600,48576,50089,52879
"Mean Annual Earnings","Co. Clare","Construction (F)",35025,34069,35037,36041,35835,36081,37309,39166,39667,45767,44542,42671,45500,48316
"Mean Annual Earnings","Co. Clare","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",26253,26375,26489,27185,27582,28451,29269,29874,31601,34796,35358,35571,37199,39227
"Mean Annual Earnings","Co. Clare","Transportation and storage (H)",48677,47683,46075,47339,47485,47686,48265,48649,50582,50557,52805,56612,48745,57759
"Mean Annual Earnings","Co. Clare","Accommodation and food service activities (I)",19759,19206,19077,19043,20144,20973,21580,22510,23005,31001,27066,26494,26516,27944
"Mean Annual Earnings","Co. Clare","Information and communication (J)",45169,46229,49472,50242,51363,50656,51892,55306,58187,59208,65202,69915,73249,78841
"Mean Annual Earnings","Co. Clare","Professional, scientific and technical activities (M)",42545,43714,43568,42679,46009,45786,45388,46774,49936,53636,53171,55487,58260,63317
"Mean Annual Earnings","Co. Clare","Administrative and support service activities (N)",36755,38734,39212,39359,39242,43027,42927,43911,44720,46746,50212,48625,50544,53632
"Mean Annual Earnings","Co. Clare","Public administration and defence; compulsory social security (O)",45161,44910,45630,45653,45904,45465,47580,48234,49695,50053,51435,53942,56831,60385
"Mean Annual Earnings","Co. Clare","Education (P)",48964,48750,48953,48018,48542,47968,49739,50519,51569,52636,52597,56159,58229,59508
"Mean Annual Earnings","Co. Clare","Human health and social work activities (Q)",33544,33061,33323,32970,33537,33688,34257,35114,35892,39147,38894,40455,42962,45067
"Mean Annual Earnings","Co. Clare","Industry (B to E)",47255,47363,46555,48054,48698,49301,51297,52044,52824,54303,56576,58359,60213,63294
"Mean Annual Earnings","Co. Clare","Financial, insurance and real estate activities (K,L)",40973,42936,43652,44752,44185,44176,43587,46585,48029,49575,51982,55820,58116,59175
"Mean Annual Earnings","Co. Clare","Arts, entertainment, recreation and other service activities (R,S)",24403,23956,23620,22970,22612,22507,22426,23408,24393,28955,30771,27728,28531,30852
"Mean Annual Earnings","Co. Cork","All NACE economic sectors",39169,39258,39481,40025,40726,41122,42061,43864,45350,50519,51316,52284,54266,57273
"Mean Annual Earnings","Co. Cork","Construction (F)",36737,36371,36722,37039,37203,37753,38144,40261,41502,47403,46873,45626,48209,50726
"Mean Annual Earnings","Co. Cork","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",28558,30666,31065,31706,32076,32976,34240,34489,38001,42740,42372,43169,44598,46824
"Mean Annual Earnings","Co. Cork","Transportation and storage (H)",37240,36916,37255,37093,37375,38280,38048,40309,41596,42430,42961,45160,45822,49114
"Mean Annual Earnings","Co. Cork","Accommodation and food service activities (I)",18629,18225,18409,18530,18866,19357,19972,20546,21195,26094,25333,24567,24996,26236
"Mean Annual Earnings","Co. Cork","Information and communication (J)",50695,51511,52331,54404,55640,55381,55693,57460,60473,62682,70021,75832,83472,89813
"Mean Annual Earnings","Co. Cork","Professional, scientific and technical activities (M)",40939,40099,40436,41649,42711,46627,46453,48495,50752,54051,57148,59518,61978,66646
"Mean Annual Earnings","Co. Cork","Administrative and support service activities (N)",27986,28748,28614,29306,30238,31266,32215,33630,35441,38360,40543,42125,42675,46095
"Mean Annual Earnings","Co. Cork","Public administration and defence; compulsory social security (O)",48173,47529,47925,47741,47434,47087,48825,50294,51270,52865,53574,56380,59121,61515
"Mean Annual Earnings","Co. Cork","Education (P)",49073,48947,48490,47385,47411,46669,47593,49227,50041,51091,51428,54164,55756,57649
