"Statistic","Administrative.County","2022"
"Median Gross Household Income","Ireland",60123
"Median Gross Household Income","Carlow County Council",53119
"Median Gross Household Income","Dublin City Council",63822
"Median Gross Household Income","Dún Laoghaire Rathdown County Council",84991
"Median Gross Household Income","Fingal County Council",77252
"Median Gross Household Income","South Dublin County Council",70423
"Median Gross Household Income","Kildare County Council",72997
"Median Gross Household Income","Kilkenny County Council",58186
"Median Gross Household Income","Laois County Council",59521
"Median Gross Household Income","Longford County Council",47217
"Median Gross Household Income","Louth County Council",54600
"Median Gross Household Income","Meath County Council",70657
"Median Gross Household Income","Offaly County Council",56048
"Median Gross Household Income","Westmeath County Council",57431
"Median Gross Household Income","Wexford County Council",51437
"Median Gross Household Income","Wicklow County Council",64077
"Median Gross Household Income","Clare County Council",54654
"Median Gross Household Income","Cork City Council",60288
"Median Gross Household Income","Cork County Council",60906
"Median Gross Household Income","Kerry County Council",48320
"Median Gross Household Income","Limerick City & County Council",55952
"Median Gross Household Income","Tipperary County Council",52756
"Median Gross Household Income","Waterford City & County Council",51539
"Median Gross Household Income","Galway City Council",59091
"Median Gross Household Income","Galway County Council",59895
"Median Gross Household Income","Leitrim County Council",45267
"Median Gross Household Income","Mayo  County Council",48665
"Median Gross Household Income","Roscommon County Council",51009
"Median Gross Household Income","Sligo County Council",50438
"Median Gross Household Income","Cavan County Council",52321
"Median Gross Household Income","Donegal County Council",42497
"Median Gross Household Income","Monaghan County Council",50617
"Mean Gross Household Income","Ireland",78508
"Mean Gross Household Income","Carlow County Council",65930
"Mean Gross Household Income","Dublin City Council",89497
"Mean Gross Household Income","Dún Laoghaire Rathdown County Council",122615
"Mean Gross Household Income","Fingal County Council",97599
"Mean Gross Household Income","South Dublin County Council",86939
"Mean Gross Household Income","Kildare County Council",89095
"Mean Gross Household Income","Kilkenny County Council",72668
"Mean Gross Household Income","Laois County Council",71637
"Mean Gross Household Income","Longford County Council",59802
"Mean Gross Household Income","Louth County Council",68432
"Mean Gross Household Income","Meath County Council",85682
"Mean Gross Household Income","Offaly County Council",68437
"Mean Gross Household Income","Westmeath County Council",70819
"Mean Gross Household Income","Wexford County Council",63843
"Mean Gross Household Income","Wicklow County Council",83467
"Mean Gross Household Income","Clare County Council",68691
"Mean Gross Household Income","Cork City Council",79008
"Mean Gross Household Income","Cork County Council",77016
"Mean Gross Household Income","Kerry County Council",61206
"Mean Gross Household Income","Limerick City & County Council",72053
"Mean Gross Household Income","Tipperary County Council",66906
"Mean Gross Household Income","Waterford City & County Council",67062
"Mean Gross Household Income","Galway City Council",74376
