"freq","nace_r2","indic_sbs","geo","time","values"
"Annual","Development of building projects","Enterprises - number","European Union - 27 countries (from 2020)",2021,158140
"Annual","Development of building projects","Enterprises - number","European Union - 27 countries (from 2020)",2022,158029
"Annual","Development of building projects","Enterprises - number","European Union - 27 countries (from 2020)",2023,161853
"Annual","Development of building projects","Enterprises - number","European Union - 27 countries (from 2020)",2024,164302
"Annual","Development of building projects","Enterprises - number","Belgium",2021,7822
"Annual","Development of building projects","Enterprises - number","Belgium",2022,9262
"Annual","Development of building projects","Enterprises - number","Belgium",2023,10668
"Annual","Development of building projects","Enterprises - number","Belgium",2024,10180
"Annual","Development of building projects","Enterprises - number","Bulgaria",2021,753
"Annual","Development of building projects","Enterprises - number","Bulgaria",2022,792
"Annual","Development of building projects","Enterprises - number","Bulgaria",2023,874
"Annual","Development of building projects","Enterprises - number","Bulgaria",2024,1000
"Annual","Development of building projects","Enterprises - number","Czechia",2021,1144
"Annual","Development of building projects","Enterprises - number","Czechia",2022,1318
"Annual","Development of building projects","Enterprises - number","Czechia",2023,1504
"Annual","Development of building projects","Enterprises - number","Czechia",2024,1587
"Annual","Development of building projects","Enterprises - number","Denmark",2021,1120
"Annual","Development of building projects","Enterprises - number","Denmark",2022,1483
"Annual","Development of building projects","Enterprises - number","Denmark",2023,1426
"Annual","Development of building projects","Enterprises - number","Denmark",2024,1418
"Annual","Development of building projects","Enterprises - number","Germany",2021,7580
"Annual","Development of building projects","Enterprises - number","Germany",2022,7475
"Annual","Development of building projects","Enterprises - number","Germany",2023,7134
"Annual","Development of building projects","Enterprises - number","Germany",2024,7086
"Annual","Development of building projects","Enterprises - number","Estonia",2021,306
"Annual","Development of building projects","Enterprises - number","Estonia",2022,384
"Annual","Development of building projects","Enterprises - number","Estonia",2023,400
"Annual","Development of building projects","Enterprises - number","Estonia",2024,410
"Annual","Development of building projects","Enterprises - number","Ireland",2021,4701
"Annual","Development of building projects","Enterprises - number","Ireland",2022,5008
"Annual","Development of building projects","Enterprises - number","Ireland",2023,5135
"Annual","Development of building projects","Enterprises - number","Ireland",2024,5271
"Annual","Development of building projects","Enterprises - number","Greece",2021,281
"Annual","Development of building projects","Enterprises - number","Greece",2022,289
"Annual","Development of building projects","Enterprises - number","Greece",2023,291
"Annual","Development of building projects","Enterprises - number","Greece",2024,309
"Annual","Development of building projects","Enterprises - number","Spain",2021,53350
"Annual","Development of building projects","Enterprises - number","Spain",2022,49743
"Annual","Development of building projects","Enterprises - number","Spain",2023,52036
"Annual","Development of building projects","Enterprises - number","Spain",2024,53965
"Annual","Development of building projects","Enterprises - number","France",2021,26213
"Annual","Development of building projects","Enterprises - number","France",2022,26001
"Annual","Development of building projects","Enterprises - number","France",2023,26549
"Annual","Development of building projects","Enterprises - number","France",2024,25775
"Annual","Development of building projects","Enterprises - number","Croatia",2021,1002
"Annual","Development of building projects","Enterprises - number","Croatia",2022,957
"Annual","Development of building projects","Enterprises - number","Croatia",2023,948
"Annual","Development of building projects","Enterprises - number","Croatia",2024,897
"Annual","Development of building projects","Enterprises - number","Italy",2021,3030
"Annual","Development of building projects","Enterprises - number","Italy",2022,3159
"Annual","Development of building projects","Enterprises - number","Italy",2023,3158
"Annual","Development of building projects","Enterprises - number","Italy",2024,3117
"Annual","Development of building projects","Enterprises - number","Cyprus",2021,543
"Annual","Development of building projects","Enterprises - number","Cyprus",2022,570
"Annual","Development of building projects","Enterprises - number","Cyprus",2023,636
"Annual","Development of building projects","Enterprises - number","Cyprus",2024,713
"Annual","Development of building projects","Enterprises - number","Latvia",2021,455
"Annual","Development of building projects","Enterprises - number","Latvia",2022,447
"Annual","Development of building projects","Enterprises - number","Latvia",2023,433
"Annual","Development of building projects","Enterprises - number","Latvia",2024,443
"Annual","Development of building projects","Enterprises - number","Lithuania",2021,630
"Annual","Development of building projects","Enterprises - number","Lithuania",2022,636
"Annual","Development of building projects","Enterprises - number","Lithuania",2023,669
"Annual","Development of building projects","Enterprises - number","Lithuania",2024,678
"Annual","Development of building projects","Enterprises - number","Luxembourg",2021,1517
"Annual","Development of building projects","Enterprises - number","Luxembourg",2022,1539
"Annual","Development of building projects","Enterprises - number","Luxembourg",2023,1484
"Annual","Development of building projects","Enterprises - number","Luxembourg",2024,1084
"Annual","Development of building projects","Enterprises - number","Hungary",2021,3385
"Annual","Development of building projects","Enterprises - number","Hungary",2022,3490
"Annual","Development of building projects","Enterprises - number","Hungary",2023,3269
