"freq","nace_r2","indic_sbs","geo","time","values"
"A","F411","ENT_NR","EU27_2020",2021,158140
"A","F411","ENT_NR","EU27_2020",2022,158029
"A","F411","ENT_NR","EU27_2020",2023,161853
"A","F411","ENT_NR","EU27_2020",2024,164302
"A","F411","ENT_NR","BE",2021,7822
"A","F411","ENT_NR","BE",2022,9262
"A","F411","ENT_NR","BE",2023,10668
"A","F411","ENT_NR","BE",2024,10180
"A","F411","ENT_NR","BG",2021,753
"A","F411","ENT_NR","BG",2022,792
"A","F411","ENT_NR","BG",2023,874
"A","F411","ENT_NR","BG",2024,1000
"A","F411","ENT_NR","CZ",2021,1144
"A","F411","ENT_NR","CZ",2022,1318
"A","F411","ENT_NR","CZ",2023,1504
"A","F411","ENT_NR","CZ",2024,1587
"A","F411","ENT_NR","DK",2021,1120
"A","F411","ENT_NR","DK",2022,1483
"A","F411","ENT_NR","DK",2023,1426
"A","F411","ENT_NR","DK",2024,1418
"A","F411","ENT_NR","DE",2021,7580
"A","F411","ENT_NR","DE",2022,7475
"A","F411","ENT_NR","DE",2023,7134
"A","F411","ENT_NR","DE",2024,7086
"A","F411","ENT_NR","EE",2021,306
"A","F411","ENT_NR","EE",2022,384
"A","F411","ENT_NR","EE",2023,400
"A","F411","ENT_NR","EE",2024,410
"A","F411","ENT_NR","IE",2021,4701
"A","F411","ENT_NR","IE",2022,5008
"A","F411","ENT_NR","IE",2023,5135
"A","F411","ENT_NR","IE",2024,5271
"A","F411","ENT_NR","EL",2021,281
"A","F411","ENT_NR","EL",2022,289
"A","F411","ENT_NR","EL",2023,291
"A","F411","ENT_NR","EL",2024,309
"A","F411","ENT_NR","ES",2021,53350
"A","F411","ENT_NR","ES",2022,49743
"A","F411","ENT_NR","ES",2023,52036
"A","F411","ENT_NR","ES",2024,53965
"A","F411","ENT_NR","FR",2021,26213
"A","F411","ENT_NR","FR",2022,26001
"A","F411","ENT_NR","FR",2023,26549
"A","F411","ENT_NR","FR",2024,25775
"A","F411","ENT_NR","HR",2021,1002
"A","F411","ENT_NR","HR",2022,957
"A","F411","ENT_NR","HR",2023,948
"A","F411","ENT_NR","HR",2024,897
"A","F411","ENT_NR","IT",2021,3030
"A","F411","ENT_NR","IT",2022,3159
"A","F411","ENT_NR","IT",2023,3158
"A","F411","ENT_NR","IT",2024,3117
"A","F411","ENT_NR","CY",2021,543
"A","F411","ENT_NR","CY",2022,570
"A","F411","ENT_NR","CY",2023,636
"A","F411","ENT_NR","CY",2024,713
"A","F411","ENT_NR","LV",2021,455
