"freq","indic_de","geo","time","values"
"Annual","Population on 1 January - total","European Union - 27 countries (from 2020)",2022,445999571
"Annual","Population on 1 January - total","Euro area – 21 countries (from 2026)",2022,353613856
"Annual","Population on 1 January - total","Euro area – 20 countries (2023-2025)",2022,347131372
"Annual","Population on 1 January - total","Euro area - 19 countries  (2015-2022)",2022,343269067
"Annual","Population on 1 January - total","Belgium",2022,11617623
"Annual","Population on 1 January - total","Bulgaria",2022,6482484
"Annual","Population on 1 January - total","Czechia",2022,10516707
"Annual","Population on 1 January - total","Denmark",2022,5873420
"Annual","Population on 1 January - total","Germany",2022,83237124
"Annual","Population on 1 January - total","Estonia",2022,1331796
"Annual","Population on 1 January - total","Ireland",2022,5154277
"Annual","Population on 1 January - total","Greece",2022,10461627
"Annual","Population on 1 January - total","Spain",2022,47486843
"Annual","Population on 1 January - total","France",2022,68091703
"Annual","Population on 1 January - total","Croatia",2022,3862305
"Annual","Population on 1 January - total","Italy",2022,59030133
"Annual","Population on 1 January - total","Cyprus",2022,929764
"Annual","Population on 1 January - total","Latvia",2022,1875757
"Annual","Population on 1 January - total","Lithuania",2022,2805998
"Annual","Population on 1 January - total","Luxembourg",2022,645397
"Annual","Population on 1 January - total","Hungary",2022,9610403
"Annual","Population on 1 January - total","Malta",2022,520174
"Annual","Population on 1 January - total","Netherlands",2022,17590672
"Annual","Population on 1 January - total","Austria",2022,8978929
"Annual","Population on 1 January - total","Poland",2022,36889761
"Annual","Population on 1 January - total","Portugal",2022,10421117
"Annual","Population on 1 January - total","Romania",2022,19043098
"Annual","Population on 1 January - total","Slovenia",2022,2107180
"Annual","Population on 1 January - total","Slovakia",2022,5434712
"Annual","Population on 1 January - total","Finland",2022,5548241
"Annual","Population on 1 January - total","Sweden",2022,10452326
"Annual","Population on 1 January - total","Iceland",2022,376248
"Annual","Population on 1 January - total","Liechtenstein",2022,39308
"Annual","Population on 1 January - total","Norway",2022,5425270
"Annual","Population on 1 January - total","Switzerland",2022,8738791
"Annual","Population on 1 January - total","United Kingdom",2022,NA
"Annual","Population on 1 January - total","Montenegro",2022,617683
"Annual","Population on 1 January - total","North Macedonia",2022,1837114
"Annual","Population on 1 January - total","Albania",2022,2793592
"Annual","Population on 1 January - total","Serbia",2022,6797105
"Annual","Population on 1 January - total","Türkiye",2022,84680273
"Annual","Population on 1 January - total","Andorra",2022,79535
"Annual","Population on 1 January - total","Armenia",2022,NA
"Annual","Population on 1 January - total","Azerbaijan",2022,10156366
"Annual","Population on 1 January - total","Bosnia and Herzegovina",2022,3464384
"Annual","Population on 1 January - total","Belarus",2022,NA
"Annual","Population on 1 January - total","Metropolitan France",2022,NA
"Annual","Population on 1 January - total","Georgia",2022,3688647
"Annual","Population on 1 January - total","Monaco",2022,NA
"Annual","Population on 1 January - total","Moldova",2022,2565030
"Annual","Population on 1 January - total","Russia",2022,NA
"Annual","Population on 1 January - total","San Marino",2022,33698
"Annual","Population on 1 January - total","Ukraine",2022,40997698
"Annual","Population on 1 January - total","Kosovo*",2022,1773971
